train.groups,atoms,n.train.atoms,test.fold,seed,algorithm,percent.error
all,41409,8190.9,10,3,cv_glmnet,2.25398570643211
all,41409,16381.8,10,3,cv_glmnet,2.19901044529962
all,41409,25027.2,10,3,cv_glmnet,2.25398570643211
all,41409,41409,10,3,cv_glmnet,2.03408466190214
all,41409,4095.45,10,1,cv_glmnet,2.9136690647482
all,41409,8190.9,10,1,cv_glmnet,2.9136690647482
all,41409,16381.8,10,1,cv_glmnet,2.84172661870504
all,41409,25027.2,10,1,cv_glmnet,2.87769784172662
all,41409,41409,10,1,cv_glmnet,2.55395683453237
all,41409,4095.45,10,2,cv_glmnet,2.69784172661871
all,41409,8190.9,10,2,cv_glmnet,2.76978417266187
all,41409,16381.8,10,2,cv_glmnet,2.84172661870504
all,41409,25027.2,10,2,cv_glmnet,2.84172661870504
all,41409,41409,10,2,cv_glmnet,2.41007194244604
all,41409,4095.45,10,3,cv_glmnet,3.05755395683453
all,41409,8190.9,10,3,cv_glmnet,2.66187050359712
all,41409,16381.8,10,3,cv_glmnet,2.80575539568345
all,41409,25027.2,10,3,cv_glmnet,2.69784172661871
all,41409,41409,10,3,cv_glmnet,2.55395683453237
other,25027.2,4095.45,1,1,cv_glmnet,2.58099945085118
other,25027.2,8190.9,1,1,cv_glmnet,2.36133992311917
other,25027.2,16381.8,1,1,cv_glmnet,2.36133992311917
other,25027.2,25027.2,1,1,cv_glmnet,2.30642504118616
other,25027.2,4095.45,1,2,cv_glmnet,2.58099945085118
other,25027.2,8190.9,1,2,cv_glmnet,2.30642504118616
other,25027.2,16381.8,1,2,cv_glmnet,2.41625480505217
other,25027.2,25027.2,1,2,cv_glmnet,2.30642504118616
other,25027.2,4095.45,1,3,cv_glmnet,2.52608456891818
other,25027.2,8190.9,1,3,cv_glmnet,2.52608456891818
other,25027.2,16381.8,1,3,cv_glmnet,2.36133992311917
other,25027.2,25027.2,1,3,cv_glmnet,2.19659527732015
other,16381.8,4095.45,1,1,cv_glmnet,2.65995686556434
other,16381.8,8190.9,1,1,cv_glmnet,2.76779295470884
other,16381.8,16381.8,1,1,cv_glmnet,2.55212077641984
other,16381.8,4095.45,1,2,cv_glmnet,2.76779295470884
other,16381.8,8190.9,1,2,cv_glmnet,2.73184759166068
